id;name;street_address;postal_code;city;state_province;country;visited
1;Secured Program;the program Ghana;magnetic;Christiansenmouth;Colombia virtual;Haiti;true
2;Uruguayo Liaison Forward;Islands Gold harness;neural;Huntington Park;Bike Representative;Barbados;false
3;stable Outdoors;pink;SCSI;East Connermouth;Fuerte Sports;Saudi Arabia;true
4;auxiliary Accounts Venezuela;analyzer;JSON open-source e-services;Madison;Exclusive cutting-edge;Namibia;false
5;Algeria Plastic Principal;Tactics infomediaries Guadeloupe;synthesize;Jeramieberg;Technician calculating Jewelery;Azerbaijan;true
6;synthesizing Licensed;auxiliary connect Toys;interface teal full-range;Reichelton;blue drive copying;Chad;true
7;intranet Maine;generating Parks Highway;Gardens Usability;Hickleborough;Investment haptic;Zambia;false
8;withdrawal compressing;up PCI;Accounts;Grayceberg;Keyboard;Lao People's Democratic Republic;true
9;quantifying payment;Home;Shoes;Porterville;plug-and-play Distributed;Lao People's Democratic Republic;false
10;Account web-readiness;SMS azure Ball;SCSI grow brand;South Antonette;explicit;Costa Rica;true
